start_station,start_lat,start_lng,end_station,end_lat,end_lng,Service:Company,Service:Type,route_count
Enschede,52.222499847412,6.8899998664856,Zoetermeer Oost,52.046390533447,4.4927778244019,NS,Intercity,1
Nijmegen,51.843612670898,5.8522224426269,Hilversum,52.225833892822,5.1819443702698,NS,Intercity,2
Gouda,52.017501831055,4.7044444084167,Alphen a/d Rijn,52.124443054199,4.6577777862549,NS,Snelbus ipv trein,4
Leeuwarden,53.195835113525,5.7922220230103,Bilthoven,52.130001068115,5.2038888931274,NS,Intercity,1
Hoofddorp,52.293334960938,4.7005553245544,Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,NS,Sprinter,27
Wolvega,52.880832672119,6.0036110877991,Leeuwarden,53.195835113525,5.7922220230103,NS Int,Eurostar,1
Rotterdam Centraal,51.92499923706,4.468888759613,Den Haag HS,52.069721221924,4.3225002288818,NS,Sprinter,6
Zwolle,52.504722595215,6.0919442176819,Kampen Zuid,52.5331,5.91309,NS,Stopbus ipv trein,106
Amsterdam Centraal,52.378887176514,4.9002776145935,Maarssen,52.135276794434,5.0336112976074,NS,Sprinter,33
Olst,52.334720611572,6.1130557060242,Deventer,52.257499694824,6.1605553627014,NS,Snelbus ipv trein,18
Alkmaar,52.63777923584,4.7397222518921,Zwolle,52.504722595215,6.0919442176819,NS,Stopbus ipv trein,2
Vlissingen,51.445835113525,3.5952777862549,Zwolle,52.504722595215,6.0919442176819,NS,Intercity,551
Rotterdam Centraal,51.92499923706,4.468888759613,Wolvega,52.880832672119,6.0036110877991,NS,Intercity,17
Dordrecht,51.807220458984,4.668333530426,Haarlem,52.38777923584,4.6383333206177,NS,Intercity,4
Almere Oostvaarders,52.403331756592,5.3005557060242,Den Haag Mariahoeve,52.090557098389,4.3694443702698,NS,Sprinter,57
Weesp,52.3127784729,5.0430555343628,Hilversum,52.225833892822,5.1819443702698,NS,Sprinter,2
Lage Zwaluwe,51.69111251831,4.6630554199219,Breda,51.595554351807,4.7800002098083,NS,Extra trein,1
Dronten,52.5344,5.72089,Leeuwarden,53.195835113525,5.7922220230103,NS,Sprinter,1
Eindhoven Centraal,51.443332672119,5.4813890457153,Susteren,51.061389923096,5.8630557060242,NS,Intercity,1
Schiphol Airport,52.30944442749,4.7619442939758,Lelystad Centrum,52.507778167725,5.4727778434753,NS,Sprinter,19
Leeuwarden,53.195835113525,5.7922220230103,Akkrum,53.046390533447,5.843611240387,NS,Intercity,1
Hoorn,52.644721984863,5.0555553436279,Den Haag Centraal,52.080276489258,4.3249998092651,NS,Sprinter,301
Dordrecht,51.807220458984,4.668333530426,Sliedrecht,51.829723358154,4.7783331871033,R-net,Stopbus ipv trein,12
Uitgeest,52.521667480469,4.7016668319702,Haarlem,52.38777923584,4.6383333206177,NS,Sprinter,8
Lage Zwaluwe,51.69111251831,4.6630554199219,Nijmegen,51.843612670898,5.8522224426269,NS,Sprinter,125
Roosendaal,51.540279388428,4.4583334922791,Bergen op Zoom,51.49388885498,4.2961111068726,NS,Extra trein,1
Lelystad Centrum,52.507778167725,5.4727778434753,Amsterdam RAI,52.337223052979,4.8902778625488,NS,Sprinter,464
Apeldoorn,52.209167480469,5.9702777862549,Rijssen,52.3122215271,6.5202779769897,NS,Sprinter,1
Bergen op Zoom,51.49388885498,4.2961111068726,Vlissingen,51.445835113525,3.5952777862549,NS,Intercity,1
Hoorn Kersenboogerd,52.653610229492,5.0855555534363,Hoofddorp,52.293334960938,4.7005553245544,NS,Sprinter,2030
Harderwijk,52.337501525879,5.619722366333,Zwolle,52.504722595215,6.0919442176819,NS,Stopbus ipv trein,137
Roosendaal,51.540279388428,4.4583334922791,Lage Zwaluwe,51.69111251831,4.6630554199219,NS,Stopbus ipv trein,573
Hoensbroek,50.905555725098,5.9305553436279,Heerlen,50.89083480835,5.9749999046326,Arriva,Extra trein,1
Hoofddorp,52.293334960938,4.7005553245544,Uitgeest,52.521667480469,4.7016668319702,NS,Sprinter,2
Utrecht Centraal,52.088890075684,5.1102776527405,Bodegraven,52.081390380859,4.7461109161377,NS,Sprinter,32
Almere Centrum,52.37503,5.21764,Vlissingen,51.445835113525,3.5952777862549,NS,Intercity,174
Den Haag HS,52.069721221924,4.3225002288818,Amsterdam Centraal,52.378887176514,4.9002776145935,NS,Intercity,687
Tilburg,51.560554504395,5.0836110115051,'s-Hertogenbosch,51.69048,5.29362,NS,Sprinter,19
Venlo,51.363609313965,6.1727776527405,Schiphol Airport,52.30944442749,4.7619442939758,NS,Intercity,2426
Amsterdam Centraal,52.378887176514,4.9002776145935,Hoofddorp,52.293334960938,4.7005553245544,NS,Intercity,22
Amsterdam Centraal,52.378887176514,4.9002776145935,Rotterdam Centraal,51.92499923706,4.468888759613,NS,Intercity direct,8675
Weesp,52.3127784729,5.0430555343628,Utrecht Overvecht,52.110000610352,5.1247220039368,NS,Stopbus ipv trein,304
Zwolle,52.504722595215,6.0919442176819,Hoofddorp,52.293334960938,4.7005553245544,NS,Intercity,4
Amersfoort Centraal,52.153888702393,5.3705554008484,Amersfoort Vathorst,52.192779541016,5.4338889122009,NS,Sprinter,12
Amsterdam Centraal,52.378887176514,4.9002776145935,Utrecht Centraal,52.088890075684,5.1102776527405,NS,Intercity,467
Leiden Centraal,52.166110992432,4.4816665649414,Hoofddorp,52.293334960938,4.7005553245544,NS,Sprinter,39
Rotterdam Centraal,51.92499923706,4.468888759613,Den Dolder,52.140277862549,5.2427778244019,NS,Intercity,1
Hoorn,52.644721984863,5.0555553436279,Hoorn Kersenboogerd,52.653610229492,5.0855555534363,NS,Stopbus ipv trein,648
Utrecht Centraal,52.088890075684,5.1102776527405,Duivendrecht,52.323333740234,4.9363889694214,NS,Sprinter,28
Heerlen,50.89083480835,5.9749999046326,Uitgeest,52.521667480469,4.7016668319702,NS,Intercity,3
Woerden,52.084999084473,4.8936109542847,Den Haag Ypenburg,52.055278778076,4.39222240448,NS,Stopbus ipv trein,195
Hoofddorp,52.293334960938,4.7005553245544,Schiphol Airport,52.30944442749,4.7619442939758,NS,Intercity,4
Hardenberg,52.572776794434,6.6286110877991,Emmen,52.790000915527,6.8994445800781,Blauwnet,Stopbus ipv trein,10
Rotterdam Centraal,51.92499923706,4.468888759613,Nijmegen,51.843612670898,5.8522224426269,NS,Sprinter,29
Driebergen-Zeist,52.065277099609,5.25861120224,Rotterdam Centraal,51.92499923706,4.468888759613,NS,Intercity,321
Enkhuizen,52.699165344238,5.286388874054,Culemborg,51.946666717529,5.2269444465637,NS,Intercity,1
Zutphen,52.145278930664,6.1941666603088,Goor,52.230278015137,6.5844445228577,Blauwnet,Stopbus ipv trein,2
Amsterdam Sloterdijk,52.388889312744,4.8377776145935,Vlissingen,51.445835113525,3.5952777862549,NS,Intercity,70
Amsterdam Muiderpoort,52.360553741455,4.9311113357544,Weesp,52.3127784729,5.0430555343628,NS,Sprinter,2
Amsterdam Zuid,52.338889,4.872356,Amsterdam Sloterdijk,52.388889312744,4.8377776145935,NS,Metro ipv trein,2140
Groningen,53.210556030273,6.5647220611572,Roodeschool,53.421262,6.7587,Arriva,Stopbus ipv trein,82
Amsterdam Centraal,52.378887176514,4.9002776145935,Zwolle,52.504722595215,6.0919442176819,NS,Intercity,49
Amsterdam Sloterdijk,52.388889312744,4.8377776145935,Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,NS,Metro ipv trein,160
's-Hertogenbosch,51.69048,5.29362,Geldermalsen,51.88301,5.27127,NS,Sprinter,36
Gouda,52.017501831055,4.7044444084167,Gouda Goverwelle,52.014999389648,4.7408332824707,NS,Sprinter,15
Amsterdam Centraal,52.378887176514,4.9002776145935,Assen,52.991664886475,6.5708332061768,NS,Intercity,2
Amsterdam Bijlmer ArenA,52.3122215271,4.9469442367554,Driebergen-Zeist,52.065277099609,5.25861120224,NS,Sprinter,61
Groningen,53.210556030273,6.5647220611572,Groningen Europapark,53.20480027,6.5854178,NS,Stopbus ipv trein,704
Ede-Wageningen,52.027778625488,5.6730556488037,Barneveld Centrum,52.139999389648,5.590277671814,RRReis,Stopbus ipv trein,2
Zwolle,52.504722595215,6.0919442176819,Coevorden,52.663612365723,6.7355556488037,Blauwnet,Sneltrein,1386
Bergen op Zoom,51.49388885498,4.2961111068726,Roosendaal,51.540279388428,4.4583334922791,NS,Snelbus ipv trein,1
Leiden Centraal,52.166110992432,4.4816665649414,Delft,52.00666809082,4.3563890457153,NS Int,Int. Trein,2
Rotterdam Centraal,51.92499923706,4.468888759613,Venlo,51.363609313965,6.1727776527405,NS,Intercity,354
Roosendaal,51.540279388428,4.4583334922791,Lage Zwaluwe,51.69111251831,4.6630554199219,NS,Intercity,3
Groningen Europapark,53.20480027,6.5854178,Zwolle,52.504722595215,6.0919442176819,NS,Intercity,1
Vlissingen,51.445835113525,3.5952777862549,Deventer,52.257499694824,6.1605553627014,NS,Intercity,25
Wijchen,51.811668395996,5.730833530426,Nijmegen,51.843612670898,5.8522224426269,NS,Sprinter,66
